,Address,Latitude,Longitude,Price,Beds,Website,Posted,Area,Minimum_Beds,Maximum_Beds,Minimum_Cost,Maximum_Cost,Average_Cost,Distance_from_GIES(miles),Distance_from_iSchool(miles),Distance_from_Grainger(miles),Distance_from_CountyMarket,,Rating,Cost_per_Person,Pet_friendly,Dish_washer_in_unit,Wahingmachine_in _unit,Parking,Wifi,water/electricity/trash management,Air_conditioning,Television,Fully_furnished,Latitude(gies),Longitude(gies),Latitude(ischool),Longitude(ischool),Latitude(eng),Longitude(eng),Latitude(countymarket),Longitude(countymarket)
12,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,2,462.5,0,1,1,0,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
13,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,3,561,0,1,0,1,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
14,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,2,366.6666667,1,1,0,0,1,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
15,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,3,265,1,1,1,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
16,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,3,397.5,0,1,1,1,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
17,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,5,260,0,0,0,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
18,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,2,462.5,0,1,0,0,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
19,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,2,561,1,1,0,0,0,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
20,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,4,366.6666667,0,1,1,0,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
21,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,4,265,0,1,1,0,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
22,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,3,397.5,0,0,0,1,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
23,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,3,260,1,1,0,1,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
24,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,2,462.5,1,0,0,1,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
25,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,2,561,0,1,1,0,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
26,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,4,366.6666667,1,0,1,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
27,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,3,265,0,0,0,1,1,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
28,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,2,397.5,1,0,0,1,0,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
29,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,4,260,1,1,1,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
30,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,2,462.5,1,1,1,1,1,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
31,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,3,561,1,1,1,1,1,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
32,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,5,366.6666667,1,0,1,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
33,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,3,265,0,1,1,1,1,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
34,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,5,397.5,1,0,1,0,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
35,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,3,260,1,0,0,0,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
36,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,5,462.5,1,0,0,0,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
37,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,3,561,0,0,0,1,0,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
38,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,5,366.6666667,1,0,1,1,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
39,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,5,265,0,0,1,0,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
40,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,4,397.5,0,1,1,1,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
41,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,4,260,0,1,0,0,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
42,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,1,1,0,0,1,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
43,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,5,561,0,1,1,1,0,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
44,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,3,366.6666667,1,0,1,0,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
45,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,4,265,0,0,0,1,1,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
46,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,2,397.5,0,0,0,1,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
47,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,5,260,1,0,1,0,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
48,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,5,462.5,1,1,0,0,0,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
49,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,2,561,1,1,1,1,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
50,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,4,366.6666667,0,0,0,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
51,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,3,265,1,0,1,1,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
52,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,3,397.5,1,1,0,1,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
53,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,5,260,0,1,0,1,0,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
54,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,5,462.5,0,0,0,1,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
55,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,4,561,1,1,1,1,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
56,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,4,366.6666667,0,0,1,0,0,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
57,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,4,265,1,1,0,1,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
58,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,4,397.5,0,0,0,1,1,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
59,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,4,260,0,1,1,1,1,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
60,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,4,462.5,0,1,1,1,0,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
61,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,5,561,0,0,1,0,0,1,1,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
62,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,3,366.6666667,0,1,0,0,0,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
63,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,2,265,0,1,0,1,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
64,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,4,397.5,0,1,0,0,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
65,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,4,260,0,1,0,1,1,1,1,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
66,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,3,462.5,0,1,1,1,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
67,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,2,561,0,1,0,1,1,1,1,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
68,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,5,366.6666667,1,1,0,0,1,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
69,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,5,265,0,0,1,1,0,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
70,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,3,397.5,0,1,0,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
71,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,4,260,0,0,0,0,1,1,0,1,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
72,"3763 Harbor Estates Ln #1, Champaign, IL 61822",40.1289577,-88.3079503,925,2,Zillow,1 hour ago,Champaign,2,2,925,925,925,4.483158946,4.298954073,4.457880234,2.354398653,,5,462.5,1,0,0,1,1,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
73,"1725 Robert Dr APT 2, Champaign, IL 61821",40.0944489,-88.2667819,1122,2,Zillow,2 hours ago,Champaign,2,2,1122,1122,1122,2.052166538,2.075611273,2.389363447,1.442929798,,5,561,0,0,1,1,0,1,0,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
74,"23 Barney St #65, Bondville, IL 61815",40.1125962,-88.3634856,1100,3,Zillow,6 hours ago,Champaign,3,3,1100,1100,1100,7.089423245,6.982622873,7.214678819,3.837951665,,4,366.6666667,1,1,1,0,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
75,"1003 N Elm St, Champaign, IL 61820",40.1257196,-88.250386,795,3,Zillow,7 hours ago,Champaign,3,3,795,795,795,1.873923521,1.597900652,1.608486722,3.056214175,,4,265,1,1,1,0,0,1,1,0,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
76,"202 1/2 Birch St, Champaign, IL 61820",40.1000956,-88.245757,795,2,Zillow,7 hours ago,Champaign,2,2,795,795,795,0.8752186796,0.9164613949,1.239606036,2.557682542,,3,397.5,0,0,0,1,0,1,0,0,0,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
77,"906 S Locust St #GMPKJKHNK, Champaign, IL 61820",40.1073706,-88.2400143,1040,4,Zillow,Updated today,Champaign,4,4,1040,1040,1040,0.596859743,0.450031067,0.7296795644,2.945053379,,5,260,0,1,1,1,0,1,0,1,1,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
