Address,Latitude,Longitude,Price,Beds,Posted,Minimum_Cost,Maximum_Cost,Minimum_Beds,Maximum_Beds,Average_Cost,Area,Website,Rating,Cost_per_Person,Pet_friendly,Dish_washer_in_unit,Wahingmachine_in _unit,Parking,Wifi,water/electricity/trash management,Air_conditioning,Television,Fully_furnished,Distance_from_GIES(miles),Distance_from_iSchool(miles),Distance_from_Grainger(miles),Distance_from_CountyMarket,Latitude(gies),Longitude(gies),Latitude(ischool),Longitude(ischool),Latitude(eng),Longitude(eng),Latitude(countymarket),Longitude(countymarket)
"605 W Washington St Champaign, IL 61820",40.1199608,-88.2525637,900,3,Recently,900,900,3,3,900,Champaign,Hotpads.com,5,300,0,0,0,0,1,1,1,1,1,1.648437541,1.400418322,1.491819137,2.717040943,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"213 Hessel Blvd Champaign, IL 61820",40.1020033,-88.2462324,"1,900",4,Recently,1900,1900,4,4,1900,Champaign,Hotpads.com,4,475,0,0,1,1,0,0,0,1,1,0.8730597505,0.8706700806,1.186911285,2.548540118,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"619 W Clark St Champaign, IL 61820",40.11517,-88.2538071,"1,400",3,Recently,1400,1400,3,3,1400,Champaign,Hotpads.com,4,466.6666667,1,0,1,1,0,1,1,1,0,1.497051199,1.287791709,1.449159724,2.478141663,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1010 N 5th St Champaign, IL 61820",40.1258879,-88.2319124,750,2,Recently,750,750,2,2,750,Champaign,Hotpads.com,4,375,0,1,0,1,0,0,0,0,0,1.543143416,1.260065072,1.071922463,3.851393195,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"710 W Hill St #1-2-4 Champaign, IL 61820",40.1194013,-88.2552632,615,1,Recently,615,615,1,1,615,Champaign,Hotpads.com,5,615,1,0,1,1,1,1,1,0,1,1.730413616,1.494896363,1.60761344,2.579863696,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"401 1/2 W Vine Champaign, IL 61820",40.1218712,-88.248854,"1,295",4,Recently,1295,1295,4,4,1295,Champaign,Hotpads.com,4,323.75,0,1,0,1,1,0,1,0,1,1.612693848,1.343599838,1.384764268,2.953148027,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1717 Coronado Dr Champaign, IL 61820",40.0951544,-88.2537614,"1,350",3,Recently,1350,1350,3,3,1350,Champaign,Hotpads.com,3,450,0,1,1,0,1,0,1,0,1,1.392431144,1.459197355,1.782986536,2.125742664,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"717 Arlington Ct Champaign, IL 61820",40.1107672,-88.2556814,"1,375",3,Recently,1375,1375,3,3,1375,Champaign,Hotpads.com,4,458.3333333,1,1,0,1,1,0,0,0,1,1.452064451,1.295500558,1.517051046,2.245789946,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1514 Grandview Dr #6 Champaign, IL 61820",40.0985764,-88.248495,775,1,Recently,775,775,1,1,775,Champaign,Hotpads.com,5,775,1,1,0,0,1,0,0,0,1,1.045138294,1.09519841,1.418359649,2.4054803,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"510 W University Ave #B Champaign, IL 61820",40.1165394,-88.2513185,550,1,Recently,550,550,1,1,550,Champaign,Hotpads.com,5,550,0,0,1,1,1,0,0,1,0,1.444128916,1.21366031,1.345345654,2.639652382,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"One South Urbana, IL 61801",40.1247305,-88.2213208,316,1 to 4,Recently,316,316,1,4,316,Urbana,Hotpads.com,3,79,1,1,1,1,1,0,1,1,0,1.527266871,1.296861657,1.005091221,4.300965523,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"2417 E Elm St Urbana, IL 61802",40.1106421,-88.1745854,875,3,Recently,875,875,3,3,875,Urbana,Hotpads.com,5,291.6666667,1,0,1,1,0,0,1,0,1,2.960483995,3.015037672,2.768362795,6.381520828,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"2603 E High St Urbana, IL 61802",40.1089068,-88.1710809,950,3,Recently,950,950,3,3,950,Urbana,Hotpads.com,5,316.6666667,1,1,0,1,1,0,0,0,1,3.127068768,3.194366472,2.956576766,6.548090961,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"305 Glenn Dr Urbana, IL 61802",40.1097776,-88.1755757,895,3,Recently,895,895,3,3,895,Urbana,Hotpads.com,4,298.3333333,0,1,0,1,1,1,0,0,0,2.899511793,2.959286712,2.717008664,6.32096434,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"808 S Prairie St Champaign, IL 61820",40.1062028,-88.2481243,700,1,Recently,700,700,1,1,700,Champaign,Hotpads.com,3,700,1,0,0,1,1,1,0,1,0,0.9824035183,0.8838949164,1.162769993,2.510152141,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1108 N Division Ave #B Urbana, IL 61801",40.1233779,-88.2051425,595,1,Recently,595,595,1,1,595,Urbana,Hotpads.com,4,595,1,0,0,0,1,0,0,0,0,1.889341511,1.766632403,1.442532509,5.043421664,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"404 E Green St #204 Urbana, IL 61802",40.1110297,-88.2033154,725,2,Recently,725,725,2,2,725,Urbana,Hotpads.com,5,362.5,0,0,1,1,0,1,1,0,1,1.492857536,1.507885981,1.250208019,4.891613809,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"702 W Washington St #7 Champaign, IL 61820",40.1204127,-88.2533621,670,1,Recently,670,670,1,1,670,Champaign,Hotpads.com,5,670,1,1,0,0,1,0,0,0,1,1.700567761,1.45289499,1.543278169,2.702090976,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"512 W University Ave #1 Champaign, IL 61820",40.1165656,-88.251556,795,1,Recently,795,795,1,1,795,Champaign,Hotpads.com,4,795,0,1,0,0,1,0,1,1,0,1.455123225,1.225410996,1.357876828,2.629900313,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"108 W Columbia Ave #101 Champaign, IL 61820",40.1213992,-88.2445021,"1,250",2,Recently,1250,1250,2,2,1250,Champaign,Hotpads.com,3,625,0,0,0,0,0,1,1,0,0,1.452755274,1.171988647,1.179020158,3.123613995,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1316 Williamsburg Dr Champaign, IL 61821",40.1299092,-88.2705827,875,3,Recently,875,875,3,3,875,Champaign,Hotpads.com,3,291.6666667,0,0,0,1,0,0,0,1,0,2.816896226,2.574391021,2.654232378,2.610655659,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"606 S Mattis Ave #3 Champaign, IL 61821",40.1097363,-88.2764164,500,1,Recently,500,500,1,1,500,Champaign,Hotpads.com,4,500,0,1,0,0,0,0,1,0,1,2.497177702,2.377618552,2.613879456,1.295934439,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"3312 York Dr Champaign, IL 61821",40.1106729,-88.3025977,"1,095",4,Recently,1095,1095,4,4,1095,Champaign,Hotpads.com,4,273.75,0,1,0,0,1,0,0,1,1,3.875448459,3.762567161,3.996267492,1.073981539,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"304 N Coler Ave Urbana, IL 61801",40.114559,-88.2155898,675,1,Recently,675,675,1,1,675,Urbana,Hotpads.com,3,675,0,0,0,0,1,1,1,1,1,1.0676747,0.9669853998,0.654073205,4.322019209,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1709 W John St Champaign, IL 61821",40.1086848,-88.2756564,625,2,Recently,625,625,2,2,625,Champaign,Hotpads.com,3,312.5,0,1,0,1,1,0,0,1,0,2.446157115,2.334203475,2.576933296,1.276308183,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1004 Francis Dr Champaign, IL 61821",40.1311712,-88.260913,"1,200",3,Recently,1200,1200,3,3,1200,Champaign,Hotpads.com,4,400,1,0,0,1,1,1,0,0,0,2.514142141,2.248221386,2.277910758,2.957425054,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"501 S Sunny Ln Urbana, IL 61802",40.1082543,-88.1728332,"1,300",3,Recently,1300,1300,3,3,1300,Urbana,Hotpads.com,3,433.3333333,0,1,1,0,1,1,0,0,1,3.030029841,3.100884844,2.866547059,6.450530111,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"608 S Westlawn Ave Champaign, IL 61821",40.1095158,-88.2710008,"1,560",3,Recently,1560,1560,3,3,1560,Champaign,Hotpads.com,5,520,0,0,1,1,0,0,1,0,0,2.212799127,2.091039277,2.328389901,1.504636751,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1711 W University Ave Champaign, IL 61821",40.1161797,-88.2759319,995,3,Recently,995,995,3,3,995,Champaign,Hotpads.com,5,331.6666667,1,0,1,1,1,0,0,0,1,2.585551025,2.420332925,2.613207383,1.653192881,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"318 S Prairie St #3 Champaign, IL 61820",40.1130542,-88.2481528,995,1,Recently,995,995,1,1,995,Champaign,Hotpads.com,4,995,0,0,0,1,0,0,1,1,1,1.166899147,0.9555271102,1.129589227,2.672914376,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1008 W Main St Urbana, IL 61801",40.1146532,-88.2213337,865,1 to 2,Recently,865,865,1,2,865,Urbana,Hotpads.com,3,432.5,1,1,1,0,1,0,1,0,0,0.8857698981,0.7230934734,0.3977248983,4.0341763,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1401 Holly Hill Dr Champaign, IL 61821",40.1278608,-88.2692094,995,3,Recently,995,995,3,3,995,Champaign,Hotpads.com,5,331.6666667,0,1,1,0,1,1,1,1,1,2.67087869,2.432693686,2.522514463,2.523635112,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1706 W Clark St Champaign, IL 61821",40.1157025,-88.2754474,"1,300",3,Recently,1300,1300,3,3,1300,Champaign,Hotpads.com,4,433.3333333,0,0,0,0,1,0,0,0,1,2.550467298,2.38762231,2.583379888,1.641450545,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"801 Irvine Rd Champaign, IL 61822",40.1243873,-88.2950251,"1,200",3,Recently,1200,1200,3,3,1200,Champaign,Hotpads.com,3,400,1,0,0,0,0,1,0,0,0,3.731294301,3.549838628,3.715551394,1.91996005,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"416 Spring Cir #1 Urbana, IL 61802",40.1282643,-88.1941552,995,3,Recently,995,995,3,3,995,Urbana,Hotpads.com,5,331.6666667,1,0,0,1,0,1,0,1,0,2.541353028,2.433698342,2.110910673,5.708112753,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"610 English Creek Ct #B Champaign, IL 61821",40.1096179,-88.2940579,800,2,Recently,800,800,2,2,800,Champaign,Hotpads.com,3,400,1,0,0,1,1,1,1,0,1,3.418628597,3.30830925,3.546014693,0.8986406138,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"306 E White St Champaign, IL 61820",40.1146479,-88.2347306,720,2 to 3,Recently,720,720,2,3,720,Champaign,Hotpads.com,5,240,1,0,1,0,0,1,0,1,1,0.8051460384,0.5124186619,0.487065013,3.367810475,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"303 W Maple St Champaign, IL 61820",40.1224726,-88.2473682,"1,074",3,Recently,1074,1074,3,3,1074,Champaign,Hotpads.com,4,358,0,1,1,0,0,1,0,1,1,1.598690843,1.323197909,1.344341369,3.041061531,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"308 E White St Champaign, IL 61820",40.114708,-88.2345181,720,2 to 3,Recently,720,720,2,3,720,Champaign,Hotpads.com,5,240,1,1,1,1,1,0,0,0,1,0.8055687823,0.5127410884,0.4799522871,3.379778686,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"610 E Stoughton St Champaign, IL 61820",40.1136888,-88.2292531,"1,185",3,Recently,1185,1185,3,3,1185,Champaign,Hotpads.com,5,395,1,1,0,0,0,0,0,1,0,0.6970986069,0.4336638152,0.2307358155,3.616173478,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"717 S. Randolph St. - 34 Champaign, IL 61820",40.107433,-88.2454718,699,3,Recently,699,699,3,3,699,Champaign,Hotpads.com,5,233,0,0,0,0,1,0,0,0,0,0.8669659113,0.7381686032,1.005516,2.668160825,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"111 E Healey St Champaign, IL 61820",40.1112492,-88.2372511,550,Studio,Recently,550,550,Studio,1,550,Champaign,Hotpads.com,5,550,1,0,1,1,0,1,0,0,1,0.6570494104,0.3922716702,0.543857876,3.161755505,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"706 S 1st St Champaign, IL 61820",40.1095061,-88.2383788,695,2,Recently,695,695,2,2,695,Champaign,Hotpads.com,4,347.5,1,0,0,0,1,0,1,1,1,0.6076772628,0.3850668743,0.6097383239,3.068274121,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"511 S Elm St Champaign, IL 61820",40.110495,-88.2502707,640,1 to 2,Recently,640,640,1,2,640,Champaign,Hotpads.com,4,320,1,0,1,1,0,0,1,0,1,1.179516267,1.010838269,1.231358336,2.499019021,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"509 E Stoughton St Champaign, IL 61820",40.1131742,-88.2309804,790,2,Recently,790,790,2,2,790,Champaign,Hotpads.com,5,395,0,1,1,0,0,0,0,0,0,0.6635467823,0.3824522547,0.2661493794,3.518298392,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"702 W Green St Urbana, IL 61801",40.1108892,-88.2162748,995,3 to 4,Recently,995,995,3,4,995,Urbana,Hotpads.com,5,248.75,0,1,0,0,0,0,0,0,0,0.8759961471,0.8353740988,0.5653360581,4.221108808,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"306 S State St Champaign, IL 61820",40.1139299,-88.2465366,725,2,Recently,725,725,2,2,725,Champaign,Hotpads.com,4,362.5,0,1,1,0,0,0,1,1,0,1.134159992,0.9049195744,1.055582186,2.775991524,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"705 W Church St Champaign, IL 61820",40.1179771,-88.254978,550,1 to 2,Recently,550,550,1,2,550,Champaign,Hotpads.com,3,275,1,1,1,1,1,0,1,0,1,1.658029303,1.430759677,1.559780436,2.53325971,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"309 E Clark St Champaign, IL 61820",40.1151034,-88.2342138,495,Studio,Recently,495,495,Studio,1,495,Champaign,Hotpads.com,3,495,0,1,1,1,1,0,0,1,0,0.8269854087,0.5342493363,0.482841804,3.404872814,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"307 E Clark St Champaign, IL 61820",40.1151069,-88.234442,495,Studio,Recently,495,495,Studio,1,495,Champaign,Hotpads.com,4,495,1,0,0,0,0,1,0,1,1,0.8306625807,0.5378356327,0.4925967536,3.393788333,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"512 W Green St Champaign, IL 61820",40.1105628,-88.251431,640,1 to 2,Recently,640,640,1,2,640,Champaign,Hotpads.com,5,320,1,0,0,0,0,1,0,1,0,1.237682979,1.071920455,1.292582634,2.444351602,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"602 E Stoughton St Champaign, IL 61820",40.1137609,-88.2301054,840,2,Recently,840,840,2,2,840,Champaign,Hotpads.com,5,420,1,0,0,1,1,0,0,1,1,0.7015073755,0.4284234843,0.2609700914,3.575272959,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"509 E Clark St Champaign, IL 61820",40.1151337,-88.2309423,520,Studio,Recently,520,520,Studio,1,520,Champaign,Hotpads.com,4,520,1,1,0,0,0,0,1,0,1,0.7983286597,0.5176896396,0.3632798746,3.566468802,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1007 S 1st St Champaign, IL 61820",40.1058747,-88.2389874,780,2,Recently,780,780,2,2,780,Champaign,Hotpads.com,5,390,1,0,0,0,0,1,0,1,1,0.5077800508,0.4140089808,0.7216904357,2.973686002,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"512 1/2 E John St Champaign, IL 61820",40.1089739,-88.2434446,450,3,Recently,450,450,3,3,450,Champaign,Hotpads.com,4,150,0,0,0,0,0,1,0,1,0,0.8085486533,0.6374367591,0.8799288611,2.801740751,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"107 S Wright St Champaign, IL 61820",40.11558,-88.2293569,299,1,Recently,299,299,1,1,299,Champaign,Hotpads.com,4,299,0,0,0,0,0,0,1,0,1,0.8274681268,0.5593220657,0.350844709,3.655727584,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"305 E John St Champaign, IL 61820",40.1087909,-88.2347463,450,1,Recently,450,450,1,1,450,Champaign,Hotpads.com,5,450,1,0,0,0,1,1,0,1,0,0.4418040503,0.1883848018,0.4345044702,3.239284695,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"905 S 2nd St Champaign, IL 61820",40.1073111,-88.2374089,499,1,Recently,499,499,1,1,499,Champaign,Hotpads.com,4,499,0,0,1,1,1,1,0,0,1,0.4744597439,0.3128183832,0.6029993839,3.077497844,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1002 S 2nd St Champaign, IL 61820",40.1064008,-88.2367433,499,1,Recently,499,499,1,1,499,Champaign,Hotpads.com,3,499,0,1,0,0,0,1,0,0,0,0.412338474,0.2899710638,0.6005736457,3.097336569,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"1010 S 1st St Champaign, IL 61820",40.1059635,-88.2382457,550,Studio to 2,Recently,550,550,Studio,2,550,Champaign,Hotpads.com,4,275,0,1,0,1,0,0,1,0,1,0.4727207072,0.3748028484,0.6844193135,3.013286287,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"107 E Springfield Ave Champaign, IL 61820",40.1122151,-88.2381191,770,2 to 3,Recently,770,770,2,3,770,Champaign,Hotpads.com,4,256.6666667,1,0,0,1,1,0,0,1,0,0.7379831334,0.4705767214,0.5965940966,3.140586749,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"111 E Chalmers St Champaign, IL 61820",40.1062686,-88.2372568,"1,980",4,Recently,1980,1980,4,4,1980,Champaign,Hotpads.com,4,495,0,1,0,1,1,0,0,0,1,0.4325526411,0.3185978361,0.6285971999,3.068862545,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"504 E White St Champaign, IL 61820",40.1146641,-88.2316271,584,Studio,Recently,584,584,Studio,1,584,Champaign,Hotpads.com,5,584,1,0,1,1,0,0,1,0,1,0.7695528849,0.4844261431,0.3609240273,3.521099786,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"59 E John St Champaign, IL 61820",40.1087778,-88.2391586,350,1,Recently,350,350,1,1,350,Champaign,Hotpads.com,5,350,1,0,0,0,1,1,0,1,0,0.6080015434,0.4117743801,0.6595227536,3.014458813,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"107 E Daniel St Champaign, IL 61820",40.1076357,-88.2377132,299,1,Recently,299,299,1,1,299,Champaign,Hotpads.com,3,299,1,0,0,1,0,1,1,1,0,0.5001974837,0.3280044916,0.6092331578,3.067373992,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"512 S 3rd St Champaign, IL 61820",40.1122154,-88.2350299,580,1 to 4,Recently,580,580,1,4,580,Champaign,Hotpads.com,4,145,1,1,0,0,0,1,0,1,0,0.6546465523,0.3660813848,0.4362127032,3.294408548,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"103 E Chalmers St Champaign, IL 61820",40.1062044,-88.2381755,750,2 to 4,Recently,750,750,2,4,750,Champaign,Hotpads.com,3,187.5,0,1,0,0,0,1,1,0,0,0.4752631841,0.366384571,0.6731130872,3.020513617,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"800 W Church St Champaign, IL 61820",40.1185783,-88.2560346,650,2,Recently,650,650,2,2,650,Champaign,Hotpads.com,5,325,1,1,0,0,0,0,0,1,0,1.727615646,1.499885324,1.62601909,2.512956153,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"613 W Hill St Champaign, IL 61820",40.1189519,-88.2535107,"1,290",3,Recently,1290,1290,3,3,1290,Champaign,Hotpads.com,3,430,1,1,1,1,0,1,1,1,0,1.639319281,1.400484985,1.510096038,2.63552782,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
"411 E Healey St Champaign, IL 61820",40.1112162,-88.2323713,"1,575",3,Recently,1575,1575,3,3,1575,Champaign,Hotpads.com,4,525,1,0,0,0,1,1,0,1,1,0.5422201249,0.250361829,0.286439071,3.406420353,40.1036099,-88.2298467,40.1076536,-88.2315064,40.1108408,-88.226973,40.0966122,-88.2939348
